date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:01:04	3612/3612	---M--	404	error ('Not%20Found')	text/html	etag:%221998007-e1c-52d37910%22	http://www.rmpt.com/robots.txt		(from )
09:01:04	14779/14779	---MC-	200	added ('OK')	text/html	date:Thu,%2026%20Jul%202018%2014:01:03%20GMT	http://www.rmpt.com/	C:/My%20Web%20Sites/Rehab/www.rmpt.com/index.html	(from )
09:01:05	1338/1338	---M-Z	200	added ('OK')	text/javascript	etag:%223eb18-53a-4e1022f254b00%22	http://www.ptclinic.com/site/jquery.metadata.pack.js	C:/My%20Web%20Sites/Rehab/www.ptclinic.com/site/jquery.metadata.pack.js	(from http://www.rmpt.com/)
09:01:05	3566/3566	---M-Z	200	added ('OK')	text/javascript	etag:%223edc8-dee-4e1022f625400%22	http://www.ptclinic.com/site/site_jquery.js	C:/My%20Web%20Sites/Rehab/www.ptclinic.com/site/site_jquery.js	(from http://www.rmpt.com/)
09:01:05	57254/57254	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.min.js	C:/My%20Web%20Sites/Rehab/ajax.googleapis.com/ajax/libs/jquery/1.3.2/jquery.min.js	(from http://www.rmpt.com/)
09:01:06	2587/2587	---M-Z	200	added ('OK')	text/javascript	etag:%223ea69-a1b-4e1022ed8ffc0%22	http://www.ptclinic.com/site/jmovie.js	C:/My%20Web%20Sites/Rehab/www.ptclinic.com/site/jmovie.js	(from http://www.rmpt.com/)
09:01:07	124/124	---M-Z	200	added ('OK')	text/javascript	etag:%223e91f-7c-4e1022eab3900%22	http://www.ptclinic.com/site/colorlist.js	C:/My%20Web%20Sites/Rehab/www.ptclinic.com/site/colorlist.js	(from http://www.rmpt.com/)
09:01:07	2148/2148	---M-Z	200	added ('OK')	text/javascript	etag:%223ea13-864-4e1022ec9bd80%22	http://www.ptclinic.com/site/fpmovie.js	C:/My%20Web%20Sites/Rehab/www.ptclinic.com/site/fpmovie.js	(from http://www.rmpt.com/)
09:01:07	4632/4632	---M-Z	200	added ('OK')	text/javascript	etag:%223edac-1218-4e1022f43cf80%22	http://ptclinic.com/site/minibanners.js	C:/My%20Web%20Sites/Rehab/ptclinic.com/site/minibanners.js	(from http://www.rmpt.com/)
09:01:07	2068/2068	---M-Z	200	added ('OK')	text/css	etag:%222f6186-814-4eb3c04723000%22	http://ptclinic.com/websites/514/website/style.css	C:/My%20Web%20Sites/Rehab/ptclinic.com/websites/514/website/style.css	(from http://www.rmpt.com/)
09:01:07	1718/1718	---M--	200	added ('OK')	image/jpeg	etag:%2212410ab-6b6-47ded1e4%22	http://www.rmpt.com/images/home_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/home_over.jpg	(from http://www.rmpt.com/)
09:01:08	1406/1406	---M--	200	added ('OK')	image/jpeg	etag:%22124109b-57e-47ded1ce%22	http://www.rmpt.com/images/careers_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/careers_over.jpg	(from http://www.rmpt.com/)
09:01:08	10752/10752	---M--	200	added ('OK')	image/jpeg	etag:%2212410a5-2a00-5b3bba71%22	http://www.rmpt.com/images/elocation_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/elocation_over.jpg	(from http://www.rmpt.com/)
09:01:08	2588/2588	---M--	200	added ('OK')	image/jpeg	etag:%2212410c1-a1c-47bb5e00%22	http://www.rmpt.com/images/staff_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/staff_over.jpg	(from http://www.rmpt.com/)
09:01:08	1610/1610	---M--	200	added ('OK')	image/jpeg	etag:%2212410bd-64a-47ded1f8%22	http://www.rmpt.com/images/services_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/services_over.jpg	(from http://www.rmpt.com/)
09:01:09	3237/3237	---M--	200	added ('OK')	image/jpeg	etag:%221241098-ca5-47bb5dba%22	http://www.rmpt.com/images/aboutus_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/aboutus_over.jpg	(from http://www.rmpt.com/)
09:01:09	1462/1462	---M--	200	added ('OK')	image/jpeg	etag:%2212410ad-5b6-47ded1e7%22	http://www.rmpt.com/images/insurance_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/insurance_over.jpg	(from http://www.rmpt.com/)
09:01:09	2035/2035	---M--	200	added ('OK')	image/jpeg	etag:%2212410a0-7f3-47ded1d1%22	http://www.rmpt.com/images/contactus_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/contactus_over.jpg	(from http://www.rmpt.com/)
09:01:09	2381/2381	---M--	200	added ('OK')	image/jpeg	etag:%2212410c7-94d-47ded201%22	http://www.rmpt.com/images/testimonials_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/testimonials_over.jpg	(from http://www.rmpt.com/)
09:01:10	2010/2010	---M--	200	added ('OK')	image/jpeg	etag:%2212410b3-7da-47ded1ee%22	http://www.rmpt.com/images/medlib_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/medlib_over.jpg	(from http://www.rmpt.com/)
09:01:10	1251/1251	---M--	200	added ('OK')	image/jpeg	etag:%2212410b9-4e3-47ded1f4%22	http://www.rmpt.com/images/patientForms_over.jpg	C:/My%20Web%20Sites/Rehab/www.rmpt.com/images/patientForms_over.jpg	(from http://www.rmpt.com/)
